TF,atr,mult_e,mult_t,mode,sesi,n,net,PF,WR%,avgR,maxDD,hijau,netSide,netBull,avgR_side
M30,14,1.2,2.5,moderate,asia,639,-113,0.97,34.0,-0.0249,-649,3/6,-33,-79,-0.0199
M30,14,1.2,2.5,moderate,ny,1268,378,1.06,37.1,-0.0309,-604,2/6,-232,609,-0.0616
M30,14,1.2,2.5,conservative,all,2031,1449,1.15,34.1,-0.031,-932,2/6,-387,1836,-0.0614
M30,14,1.2,2.5,conservative,asia,362,90,1.05,34.0,-0.0596,-440,3/6,-51,141,-0.0184
M30,14,1.2,2.5,conservative,ny,697,510,1.14,35.9,-0.0323,-538,3/6,-152,661,-0.0659
M30,14,1.2,-,buy_only,all,2730,821,1.06,36.7,-0.0186,-700,3/6,-555,1376,-0.0741
M30,14,1.2,-,buy_only,asia,513,233,1.11,38.4,-0.0049,-445,4/6,-89,322,-0.0579
M30,14,1.2,-,buy_only,ny,841,-23,0.99,38.0,0.0082,-394,4/6,-62,39,-0.0201
M30,14,1.2,-,sell_only,all,2731,-1147,0.91,31.7,-0.0953,-2177,1/6,-737,-410,-0.0935
M30,14,1.2,-,sell_only,asia,498,-263,0.89,31.3,-0.0971,-602,1/6,-134,-129,-0.0709
M30,14,1.2,-,sell_only,ny,851,-9,1.0,35.1,-0.0367,-525,3/6,42,-51,-0.0045
M30,14,1.2,3.8,moderate,all,3300,38,1.0,34.4,-0.0405,-1282,2/6,-999,1037,-0.0761
M30,14,1.2,3.8,moderate,asia,524,-419,0.84,36.6,-0.0409,-572,1/6,-26,-392,0.002
M30,14,1.2,3.8,moderate,ny,1142,374,1.06,37.4,-0.0171,-482,3/6,-273,647,-0.0675
M30,14,1.2,3.8,conservative,all,2290,844,1.08,34.1,-0.0346,-849,2/6,-564,1407,-0.0786
M30,14,1.2,3.8,conservative,asia,401,-144,0.92,36.2,-0.0441,-415,3/6,-24,-120,-0.0052
M30,14,1.2,3.8,conservative,ny,748,391,1.1,36.6,-0.001,-391,4/6,-80,471,-0.0499
M30,14,1.2,5.0,moderate,all,3104,-88,0.99,34.4,-0.0472,-1075,2/6,-638,550,-0.0651
M30,14,1.2,5.0,moderate,asia,482,-16,0.99,34.0,-0.0565,-424,2/6,-79,63,-0.0314
M30,14,1.2,5.0,moderate,ny,1067,-2,1.0,36.8,-0.0227,-668,2/6,-77,75,-0.0262
M30,14,1.2,5.0,conservative,all,2423,-165,0.99,34.3,-0.0533,-1035,1/6,-435,270,-0.0704
M30,14,1.2,5.0,conservative,asia,402,-69,0.96,35.3,-0.0599,-483,2/6,-6,-63,-0.0078
M30,14,1.2,5.0,conservative,ny,781,58,1.01,37.4,-0.0102,-514,4/6,51,7,-0.0078
M30,14,1.8,-,direct,all,3305,546,1.03,33.2,-0.041,-1792,2/6,-970,1516,-0.0791
M30,14,1.8,-,direct,asia,598,799,1.23,33.9,0.0029,-400,3/6,-77,877,-0.0352
M30,14,1.8,-,direct,ny,1114,-759,0.89,34.2,-0.0716,-1139,0/6,-529,-230,-0.0949
M30,14,1.8,2.5,moderate,all,2697,906,1.05,33.5,-0.0323,-1512,2/6,-725,1630,-0.0651
M30,14,1.8,2.5,moderate,asia,425,817,1.27,33.9,0.0356,-642,4/6,-39,856,-0.0435
M30,14,1.8,2.5,moderate,ny,958,-383,0.94,35.6,-0.0476,-853,2/6,-381,-1,-0.0775
M30,14,1.8,2.5,conservative,all,1271,321,1.04,33.6,-0.033,-938,1/6,-307,628,-0.0699
M30,14,1.8,2.5,conservative,asia,184,523,1.46,37.0,0.088,-195,4/6,-7,530,-0.0184
M30,14,1.8,2.5,conservative,ny,531,-76,0.98,33.9,-0.0383,-564,3/6,-274,198,-0.0798
M30,14,1.8,-,buy_only,all,1652,1222,1.13,35.8,0.0127,-584,4/6,-287,1509,-0.0471
M30,14,1.8,-,buy_only,asia,333,648,1.38,38.4,0.0813,-306,5/6,76,572,0.0823
M30,14,1.8,-,buy_only,ny,531,-22,0.99,37.3,-0.0145,-314,2/6,-127,106,-0.0584
M30,14,1.8,-,sell_only,all,1653,-676,0.94,30.6,-0.0946,-2134,1/6,-683,7,-0.1111
M30,14,1.8,-,sell_only,asia,265,152,1.08,28.3,-0.0957,-264,1/6,-153,304,-0.1953
M30,14,1.8,-,sell_only,ny,583,-738,0.81,31.4,-0.1237,-1182,1/6,-402,-336,-0.1297
M30,14,1.8,3.8,moderate,all,2223,505,1.04,34.4,-0.0367,-1183,2/6,-856,1361,-0.0896
M30,14,1.8,3.8,moderate,asia,316,828,1.4,37.7,0.0338,-312,3/6,3,825,-0.0188
M30,14,1.8,3.8,moderate,ny,843,-55,0.99,36.3,-0.0387,-702,3/6,-530,475,-0.1112
M30,14,1.8,3.8,conservative,all,1207,20,1.0,33.1,-0.0469,-946,3/6,-745,766,-0.1329
M30,14,1.8,3.8,conservative,asia,196,86,1.08,34.2,-0.0009,-198,2/6,-91,177,-0.116
M30,14,1.8,3.8,conservative,ny,440,-294,0.9,34.1,-0.0732,-753,3/6,-470,177,-0.1536
M30,14,1.8,5.0,moderate,all,2027,452,1.03,34.1,-0.0287,-1073,2/6,-548,1000,-0.0668
M30,14,1.8,5.0,moderate,asia,289,695,1.37,31.5,0.0349,-231,4/6,-99,794,-0.0723
M30,14,1.8,5.0,moderate,ny,787,-440,0.92,34.7,-0.0604,-1041,1/6,-432,-8,-0.0937
M30,14,1.8,5.0,conservative,all,1334,933,1.11,33.8,-0.024,-807,2/6,-568,1500,-0.0943
M30,14,1.8,5.0,conservative,asia,208,704,1.56,33.2,0.0701,-198,4/6,-36,740,-0.0519
M30,14,1.8,5.0,conservative,ny,500,-146,0.95,34.2,-0.0644,-687,2/6,-484,338,-0.1373
M30,14,2.5,-,direct,all,2088,1371,1.09,33.7,-0.0126,-938,3/6,-221,1592,-0.0298
M30,14,2.5,-,direct,asia,319,1187,1.41,33.5,0.0863,-492,4/6,-33,1220,-0.0264
M30,14,2.5,-,direct,ny,761,-194,0.96,36.4,-0.0221,-757,1/6,-187,-7,-0.0563
M30,14,2.5,2.5,moderate,all,2088,1371,1.09,33.7,-0.0126,-938,3/6,-221,1592,-0.0298
M30,14,2.5,2.5,moderate,asia,319,1187,1.41,33.5,0.0863,-492,4/6,-33,1220,-0.0264
M30,14,2.5,2.5,moderate,ny,761,-194,0.96,36.4,-0.0221,-757,1/6,-187,-7,-0.0563
M30,14,2.5,2.5,conservative,all,2088,1371,1.09,33.7,-0.0126,-938,3/6,-221,1592,-0.0298
M30,14,2.5,2.5,conservative,asia,319,1187,1.41,33.5,0.0863,-492,4/6,-33,1220,-0.0264
M30,14,2.5,2.5,conservative,ny,761,-194,0.96,36.4,-0.0221,-757,1/6,-187,-7,-0.0563
M30,14,2.5,-,buy_only,all,1044,1309,1.16,35.7,0.0438,-589,4/6,-115,1424,-0.0102
M30,14,2.5,-,buy_only,asia,187,869,1.55,37.4,0.1514,-245,4/6,-4,874,0.0523
M30,14,2.5,-,buy_only,ny,358,276,1.1,39.1,0.0738,-555,4/6,111,164,0.0409
M30,14,2.5,-,sell_only,all,1044,62,1.01,31.7,-0.0691,-1618,2/6,-105,168,-0.0494
M30,14,2.5,-,sell_only,ny,403,-470,0.83,34.0,-0.1074,-891,1/6,-298,-172,-0.1401
M30,14,2.5,3.8,moderate,all,1614,883,1.07,34.8,-0.0142,-764,3/6,-416,1299,-0.0568
M30,14,2.5,3.8,moderate,asia,212,488,1.23,35.8,0.0395,-267,4/6,-70,559,-0.1037
M30,14,2.5,3.8,moderate,ny,653,139,1.03,37.1,-0.0133,-549,3/6,-320,460,-0.0757
M30,14,2.5,3.8,conservative,all,671,1256,1.25,33.7,0.0033,-493,3/6,-185,1440,-0.0803
M30,14,2.5,3.8,conservative,ny,302,415,1.2,38.1,0.035,-245,4/6,-56,471,-0.0235
M30,14,2.5,5.0,moderate,all,1417,938,1.08,33.7,-0.0033,-644,3/6,-43,981,-0.0201
M30,14,2.5,5.0,moderate,asia,177,560,1.35,28.2,0.0063,-267,3/6,-198,759,-0.2165
M30,14,2.5,5.0,moderate,ny,585,219,1.05,36.9,0.0015,-448,3/6,-78,297,-0.0208
M30,14,2.5,5.0,conservative,all,734,1373,1.25,33.7,0.0231,-470,4/6,-46,1418,-0.0339
M30,14,2.5,5.0,conservative,ny,297,487,1.24,37.4,0.0544,-214,4/6,-123,610,-0.038
M30,20,1.2,-,direct,all,5439,-442,0.98,34.5,-0.0478,-1838,2/6,-1071,628,-0.0732
M30,20,1.2,-,direct,asia,978,116,1.03,35.1,-0.0492,-533,2/6,-221,337,-0.0641
M30,20,1.2,-,direct,ny,1717,-185,0.98,36.9,-0.0092,-569,3/6,82,-267,-0.0006
M30,20,1.2,2.5,moderate,all,3761,276,1.01,33.8,-0.0282,-1416,2/6,-765,1041,-0.0561
M30,20,1.2,2.5,moderate,asia,633,-224,0.94,32.5,-0.0409,-587,2/6,-134,-90,-0.0367
M30,20,1.2,2.5,moderate,ny,1280,-32,1.0,36.9,-0.0293,-552,2/6,-108,75,-0.0486
M30,20,1.2,2.5,conservative,all,2013,1330,1.14,34.4,-0.0233,-707,3/6,-278,1609,-0.061
M30,20,1.2,2.5,conservative,asia,344,329,1.21,35.2,-0.0385,-357,3/6,-4,332,-0.0004
M30,20,1.2,2.5,conservative,ny,706,53,1.01,35.1,-0.0437,-613,2/6,-153,205,-0.0749
M30,20,1.2,-,buy_only,all,2719,1042,1.08,37.3,-0.0095,-601,3/6,-472,1514,-0.0668
M30,20,1.2,-,buy_only,asia,492,216,1.1,38.2,-0.0186,-383,4/6,-109,325,-0.068
M30,20,1.2,-,buy_only,ny,859,141,1.03,39.0,0.0127,-295,4/6,7,134,-0.0099
M30,20,1.2,-,sell_only,all,2720,-1485,0.89,31.7,-0.0862,-2238,0/6,-599,-886,-0.0796
M30,20,1.2,-,sell_only,asia,486,-101,0.96,31.9,-0.0802,-615,1/6,-113,12,-0.0599
M30,20,1.2,-,sell_only,ny,858,-326,0.93,34.8,-0.0312,-728,1/6,76,-401,0.0088
M30,20,1.2,3.8,moderate,all,3285,361,1.02,34.0,-0.0313,-1143,2/6,-855,1215,-0.0676
M30,20,1.2,3.8,moderate,asia,511,-271,0.9,36.4,-0.0342,-562,2/6,-22,-248,0.0059
M30,20,1.2,3.8,moderate,ny,1131,550,1.1,36.7,-0.0171,-417,4/6,-163,713,-0.0551
M30,20,1.2,3.8,conservative,all,2274,644,1.06,33.6,-0.0266,-751,2/6,-434,1078,-0.0661
M30,20,1.2,3.8,conservative,asia,384,-160,0.91,35.2,-0.0416,-419,2/6,-24,-136,-0.0028
M30,20,1.2,3.8,conservative,ny,743,205,1.05,35.9,-0.009,-460,3/6,-35,240,-0.0389
M30,20,1.2,5.0,moderate,all,3085,554,1.04,34.9,-0.0341,-968,2/6,-505,1059,-0.0561
M30,20,1.2,5.0,moderate,asia,465,113,1.05,34.6,-0.0591,-444,2/6,-96,209,-0.0353
M30,20,1.2,5.0,moderate,ny,1076,368,1.07,37.9,-0.0149,-539,3/6,-16,385,-0.0154
M30,20,1.2,5.0,conservative,all,2426,203,1.02,34.5,-0.0401,-927,1/6,-393,597,-0.0644
M30,20,1.2,5.0,conservative,asia,395,-17,0.99,35.2,-0.0642,-497,2/6,-14,-3,-0.012
M30,20,1.2,5.0,conservative,ny,798,239,1.06,38.2,-0.0018,-477,4/6,71,168,0.002
M30,20,1.8,-,direct,all,3357,-89,1.0,32.9,-0.0501,-2096,2/6,-1220,1131,-0.0921
M30,20,1.8,-,direct,asia,594,171,1.05,33.0,-0.038,-496,2/6,-230,401,-0.0714
M30,20,1.8,-,direct,ny,1156,-901,0.88,33.8,-0.069,-1221,1/6,-525,-376,-0.0886
M30,20,1.8,2.5,moderate,all,2720,554,1.03,33.5,-0.0295,-1526,2/6,-676,1230,-0.058
M30,20,1.8,2.5,moderate,asia,432,-121,0.96,31.2,-0.0302,-664,2/6,-160,39,-0.0908
M30,20,1.8,2.5,moderate,ny,973,-150,0.98,36.1,-0.0342,-779,2/6,-273,123,-0.0594
M30,20,1.8,2.5,conservative,all,1306,668,1.08,33.1,-0.0433,-992,2/6,-493,1160,-0.0925
M30,20,1.8,2.5,conservative,asia,182,398,1.31,34.1,0.0068,-175,4/6,6,392,-0.0534
M30,20,1.8,2.5,conservative,ny,559,-5,1.0,33.3,-0.0466,-662,2/6,-349,345,-0.0911
M30,20,1.8,-,buy_only,all,1678,861,1.08,35.2,-0.0012,-621,3/6,-459,1319,-0.0653
M30,20,1.8,-,buy_only,asia,330,349,1.19,35.2,0.0065,-372,3/6,-109,458,-0.005
M30,20,1.8,-,buy_only,ny,556,-154,0.95,36.2,-0.0181,-432,3/6,-157,3,-0.054
M30,20,1.8,-,sell_only,all,1679,-949,0.91,30.7,-0.099,-2236,1/6,-761,-188,-0.1189
M30,20,1.8,-,sell_only,asia,264,-178,0.9,30.3,-0.0936,-405,1/6,-121,-58,-0.1649
M30,20,1.8,-,sell_only,ny,600,-747,0.81,31.7,-0.1162,-1125,1/6,-368,-379,-0.122
M30,20,1.8,3.8,moderate,all,2245,391,1.03,33.9,-0.0395,-1209,2/6,-893,1284,-0.0936
M30,20,1.8,3.8,moderate,asia,314,56,1.03,33.4,-0.0109,-348,3/6,-82,138,-0.0628
M30,20,1.8,3.8,moderate,ny,840,-79,0.98,35.4,-0.0568,-785,2/6,-462,383,-0.1062
M30,20,1.8,3.8,conservative,all,1228,383,1.05,32.2,-0.047,-1033,3/6,-835,1219,-0.1428
M30,20,1.8,3.8,conservative,asia,189,62,1.05,31.2,-0.017,-246,3/6,-143,205,-0.1833
M30,20,1.8,3.8,conservative,ny,445,-241,0.91,31.9,-0.0796,-729,2/6,-481,239,-0.153
M30,20,1.8,5.0,moderate,all,2044,766,1.06,34.0,-0.0318,-1116,2/6,-687,1453,-0.0803
M30,20,1.8,5.0,moderate,asia,278,162,1.09,29.1,-0.0191,-378,2/6,-197,360,-0.107
M30,20,1.8,5.0,moderate,ny,800,126,1.03,35.1,-0.0462,-734,2/6,-393,520,-0.0813
M30,20,1.8,5.0,conservative,all,1375,752,1.09,33.2,-0.0378,-873,2/6,-668,1419,-0.1172
M30,20,1.8,5.0,conservative,asia,207,130,1.1,30.0,-0.0029,-258,3/6,-96,227,-0.0824
M30,20,1.8,5.0,conservative,ny,519,39,1.01,33.9,-0.0457,-562,2/6,-402,442,-0.1073
M30,20,2.5,-,direct,all,2083,1010,1.06,34.6,-0.0109,-866,4/6,-117,1127,-0.0222
M30,20,2.5,-,direct,asia,328,560,1.18,32.6,0.0057,-643,3/6,-182,742,-0.1151
M30,20,2.5,-,direct,ny,764,109,1.02,37.8,0.0045,-760,3/6,49,60,-0.0138
M30,20,2.5,2.5,moderate,all,2083,1010,1.06,34.6,-0.0109,-866,4/6,-117,1127,-0.0222
M30,20,2.5,2.5,moderate,asia,328,560,1.18,32.6,0.0057,-643,3/6,-182,742,-0.1151
M30,20,2.5,2.5,moderate,ny,764,109,1.02,37.8,0.0045,-760,3/6,49,60,-0.0138
M30,20,2.5,2.5,conservative,all,2083,1010,1.06,34.6,-0.0109,-866,4/6,-117,1127,-0.0222
M30,20,2.5,2.5,conservative,asia,328,560,1.18,32.6,0.0057,-643,3/6,-182,742,-0.1151
M30,20,2.5,2.5,conservative,ny,764,109,1.02,37.8,0.0045,-760,3/6,49,60,-0.0138
M30,20,2.5,-,buy_only,all,1041,1313,1.16,37.2,0.0599,-640,3/6,-65,1377,0.0058
M30,20,2.5,-,buy_only,asia,191,596,1.35,36.6,0.1021,-283,3/6,-88,684,-0.0532
M30,20,2.5,-,buy_only,ny,362,373,1.14,40.9,0.1056,-525,4/6,217,157,0.0961
M30,20,2.5,-,sell_only,all,1042,-303,0.96,32.1,-0.0816,-1561,3/6,-52,-250,-0.0501
M30,20,2.5,-,sell_only,ny,402,-264,0.9,35.1,-0.0865,-673,1/6,-168,-97,-0.111
M30,20,2.5,3.8,moderate,all,1607,625,1.05,34.8,-0.0121,-649,3/6,-294,919,-0.049
M30,20,2.5,3.8,moderate,asia,218,537,1.26,34.4,-0.0199,-274,4/6,-143,680,-0.1684
M30,20,2.5,3.8,moderate,ny,645,217,1.04,38.1,0.0119,-514,4/6,22,195,-0.0154
M30,20,2.5,3.8,conservative,all,660,1000,1.19,35.2,0.0039,-308,4/6,-133,1133,-0.0691
M30,20,2.5,3.8,conservative,ny,295,455,1.22,40.3,0.0503,-246,5/6,65,389,0.0177
M30,20,2.5,5.0,moderate,all,1407,1177,1.11,35.0,0.0078,-495,3/6,14,1163,-0.0165
M30,20,2.5,5.0,moderate,asia,174,936,1.61,31.6,0.0256,-261,3/6,-229,1165,-0.2235
M30,20,2.5,5.0,moderate,ny,587,476,1.11,37.5,0.0206,-310,5/6,24,452,-0.0103
M30,20,2.5,5.0,conservative,all,739,1763,1.32,35.9,0.0355,-447,5/6,-57,1820,-0.0454
M30,20,2.5,5.0,conservative,ny,305,597,1.28,39.7,0.0627,-215,3/6,-91,688,-0.0393
H1,7,1.2,-,direct,all,2653,1434,1.08,34.2,-0.0272,-1359,2/6,-703,2137,-0.0493
H1,7,1.2,-,direct,asia,453,1139,1.34,34.2,0.0232,-274,5/6,36,1103,-0.0079
H1,7,1.2,-,direct,ny,784,-836,0.84,36.2,-0.0478,-1282,1/6,-204,-632,-0.0386
H1,7,1.2,2.5,moderate,all,1862,1386,1.1,35.1,-0.0186,-931,2/6,-524,1910,-0.0523
H1,7,1.2,2.5,moderate,asia,235,1769,2.12,40.0,0.1393,-208,5/6,91,1678,0.0374
H1,7,1.2,2.5,moderate,ny,629,89,1.02,38.0,-0.0247,-625,3/6,-206,295,-0.0502
H1,7,1.2,2.5,conservative,all,1003,1343,1.19,34.4,-0.0307,-888,1/6,-499,1842,-0.0924
H1,7,1.2,2.5,conservative,ny,356,-122,0.95,37.6,-0.0609,-579,1/6,-303,180,-0.1104
H1,7,1.2,-,buy_only,all,1326,1412,1.16,36.1,0.0202,-420,3/6,-327,1739,-0.0284
H1,7,1.2,-,buy_only,asia,265,283,1.15,35.1,0.0227,-217,4/6,-20,304,0.023
H1,7,1.2,-,buy_only,ny,373,-334,0.87,39.1,0.0057,-510,2/6,56,-389,0.0299
H1,7,1.2,-,sell_only,all,1327,22,1.0,32.3,-0.0746,-2138,2/6,-376,398,-0.0702
H1,7,1.2,-,sell_only,asia,188,856,1.6,33.0,0.0239,-189,4/6,57,799,-0.0546
H1,7,1.2,-,sell_only,ny,411,-502,0.81,33.6,-0.0964,-962,1/6,-260,-242,-0.1012
H1,7,1.2,3.8,moderate,all,1622,1351,1.12,34.2,-0.0022,-657,3/6,-162,1513,-0.0286
H1,7,1.2,3.8,moderate,asia,211,1248,1.84,31.3,0.0772,-263,4/6,-11,1259,-0.0549
H1,7,1.2,3.8,moderate,ny,551,-118,0.97,36.5,-0.0095,-506,2/6,-209,91,-0.0372
H1,7,1.2,3.8,conservative,all,1095,2088,1.29,34.2,-0.0065,-662,3/6,-210,2297,-0.0582
H1,7,1.2,3.8,conservative,asia,158,1211,2.12,31.0,0.0899,-139,4/6,47,1164,-0.0549
H1,7,1.2,3.8,conservative,ny,372,205,1.09,38.2,-0.0011,-354,2/6,-165,370,-0.0565
H1,7,1.2,5.0,moderate,all,1527,1384,1.13,34.4,-0.007,-691,2/6,-225,1608,-0.0327
H1,7,1.2,5.0,moderate,asia,211,1134,1.77,33.2,0.0699,-183,4/6,75,1060,0.0122
H1,7,1.2,5.0,moderate,ny,504,-260,0.92,35.9,-0.0409,-600,2/6,-249,-11,-0.0557
H1,7,1.2,5.0,conservative,all,1155,1976,1.27,34.7,-0.0013,-545,2/6,-85,2060,-0.0365
H1,7,1.2,5.0,conservative,asia,172,1064,1.86,31.4,0.0862,-183,5/6,82,982,0.0266
H1,7,1.2,5.0,conservative,ny,390,-56,0.98,37.4,-0.0348,-418,1/6,-131,75,-0.0628
H1,7,1.8,-,direct,all,1645,1665,1.12,34.8,-0.0078,-651,4/6,-232,1897,-0.0353
H1,7,1.8,-,direct,asia,210,464,1.18,37.6,0.0843,-854,4/6,-35,500,-0.0094
H1,7,1.8,-,direct,ny,535,435,1.11,37.2,-0.0015,-642,4/6,156,279,0.0203
H1,7,1.8,2.5,moderate,all,1357,1192,1.1,35.8,-0.0089,-704,4/6,-300,1492,-0.0446
H1,7,1.8,2.5,moderate,ny,489,645,1.17,38.0,0.0194,-500,3/6,167,477,0.024
H1,7,1.8,2.5,conservative,all,677,998,1.17,36.0,-0.0378,-639,3/6,-312,1310,-0.1021
H1,7,1.8,2.5,conservative,ny,292,240,1.11,38.4,-0.0175,-585,3/6,-6,246,-0.0194
H1,7,1.8,-,buy_only,all,822,1667,1.24,38.0,0.0498,-651,4/6,-135,1802,-0.0124
H1,7,1.8,-,buy_only,ny,253,276,1.13,41.9,0.0589,-403,3/6,234,42,0.1377
H1,7,1.8,-,sell_only,all,823,-2,1.0,31.6,-0.0654,-1358,2/6,-97,95,-0.0581
H1,7,1.8,-,sell_only,ny,282,159,1.08,33.0,-0.0557,-424,1/6,-77,237,-0.0817
H1,7,1.8,3.8,moderate,all,1118,1560,1.16,35.0,0.0249,-554,4/6,-4,1563,-0.0061
H1,7,1.8,3.8,moderate,ny,406,-177,0.95,37.2,-0.0112,-548,2/6,-214,37,-0.0373
H1,7,1.8,3.8,conservative,all,596,2401,1.49,37.8,0.0563,-261,5/6,117,2284,-0.0179
H1,7,1.8,3.8,conservative,ny,230,291,1.18,40.4,0.0095,-230,3/6,-65,356,-0.0343
H1,7,1.8,5.0,moderate,all,1023,1563,1.17,35.8,0.0236,-620,3/6,-34,1597,-0.0082
H1,7,1.8,5.0,moderate,ny,349,124,1.05,37.0,0.015,-384,3/6,-122,246,-0.0013
H1,7,1.8,5.0,conservative,all,650,2122,1.39,37.5,0.0575,-335,4/6,159,1963,0.0029
H1,7,1.8,5.0,conservative,ny,235,373,1.22,40.0,0.054,-272,3/6,21,351,0.0193
H1,7,2.5,-,direct,all,1069,1444,1.13,35.7,0.0095,-884,4/6,-220,1664,-0.0262
H1,7,2.5,-,direct,ny,388,1106,1.3,38.4,0.0473,-334,4/6,123,983,0.0162
H1,7,2.5,2.5,moderate,all,1069,1444,1.13,35.7,0.0095,-884,4/6,-220,1664,-0.0262
H1,7,2.5,2.5,moderate,ny,388,1106,1.3,38.4,0.0473,-334,4/6,123,983,0.0162
H1,7,2.5,2.5,conservative,all,1069,1444,1.13,35.7,0.0095,-884,4/6,-220,1664,-0.0262
H1,7,2.5,2.5,conservative,ny,388,1106,1.3,38.4,0.0473,-334,4/6,123,983,0.0162
H1,7,2.5,-,buy_only,all,534,1612,1.3,39.5,0.0915,-546,4/6,-124,1736,-0.0259
H1,7,2.5,-,buy_only,ny,204,569,1.28,41.2,0.0897,-229,4/6,-33,601,-0.0086
H1,7,2.5,-,sell_only,all,535,-168,0.97,32.0,-0.0723,-1209,1/6,-96,-72,-0.0265
H1,7,2.5,-,sell_only,ny,184,537,1.32,35.3,0.0002,-292,4/6,156,382,0.0436
H1,7,2.5,3.8,moderate,all,832,1182,1.13,36.9,0.0383,-820,4/6,-9,1191,0.0061
H1,7,2.5,3.8,moderate,ny,303,1045,1.37,39.3,0.058,-327,5/6,1,1044,-0.0276
H1,7,2.5,3.8,conservative,all,358,1102,1.3,37.4,0.09,-286,5/6,117,984,0.0437
H1,7,2.5,5.0,moderate,all,735,1293,1.16,37.4,0.0363,-717,4/6,-94,1387,-0.0021
H1,7,2.5,5.0,moderate,ny,251,641,1.27,39.4,0.0475,-272,4/6,-47,688,0.0035
H1,7,2.5,5.0,conservative,all,381,748,1.18,35.4,0.0406,-490,5/6,-53,801,-0.0077
H1,10,1.2,-,direct,all,2649,891,1.05,34.0,-0.028,-1309,2/6,-871,1762,-0.0563
H1,10,1.2,-,direct,asia,449,508,1.15,32.7,-0.0231,-304,2/6,-145,653,-0.0841
H1,10,1.2,-,direct,ny,778,-449,0.91,37.0,-0.0187,-837,1/6,-87,-362,-0.005
H1,10,1.2,2.5,moderate,all,1846,1149,1.09,35.3,-0.0158,-945,3/6,-618,1767,-0.0584
H1,10,1.2,2.5,moderate,asia,230,1011,1.59,37.4,0.0939,-197,5/6,-1,1012,-0.0152
H1,10,1.2,2.5,moderate,ny,622,287,1.07,37.9,-0.0182,-518,3/6,-175,462,-0.0503
H1,10,1.2,2.5,conservative,all,1000,1032,1.15,34.5,-0.0305,-843,3/6,-681,1713,-0.1067
H1,10,1.2,2.5,conservative,ny,344,-46,0.98,36.6,-0.0673,-611,1/6,-392,346,-0.1363
H1,10,1.2,-,buy_only,all,1324,1277,1.14,35.5,0.0179,-525,3/6,-407,1683,-0.0369
H1,10,1.2,-,buy_only,asia,262,377,1.21,33.6,-0.0004,-265,2/6,-121,498,-0.0462
H1,10,1.2,-,buy_only,ny,366,-50,0.98,40.4,0.0456,-345,5/6,115,-165,0.0653
H1,10,1.2,-,sell_only,all,1325,-385,0.96,32.5,-0.0738,-1957,1/6,-464,79,-0.0756
H1,10,1.2,-,sell_only,asia,187,131,1.09,31.6,-0.0549,-243,4/6,-25,155,-0.1412
H1,10,1.2,-,sell_only,ny,412,-400,0.85,34.0,-0.0759,-927,1/6,-203,-197,-0.0674
H1,10,1.2,3.8,moderate,all,1612,1267,1.11,34.1,-0.0089,-817,2/6,-397,1664,-0.0486
H1,10,1.2,3.8,moderate,asia,202,615,1.41,30.7,0.0468,-209,4/6,-71,686,-0.0992
H1,10,1.2,3.8,moderate,ny,539,-183,0.95,35.4,-0.0265,-651,2/6,-207,24,-0.0463
H1,10,1.2,3.8,conservative,all,1097,2018,1.28,34.6,-0.0077,-754,2/6,-441,2459,-0.0798
H1,10,1.2,3.8,conservative,asia,157,565,1.48,30.6,0.0361,-132,4/6,-46,611,-0.1481
H1,10,1.2,3.8,conservative,ny,365,221,1.11,37.5,-0.0147,-474,2/6,-243,464,-0.0738
H1,10,1.2,5.0,moderate,all,1523,715,1.07,33.6,-0.0195,-805,2/6,-430,1144,-0.0535
H1,10,1.2,5.0,moderate,asia,211,211,1.13,29.9,-0.0164,-228,3/6,-7,218,-0.0632
H1,10,1.2,5.0,moderate,ny,496,155,1.05,36.5,-0.0278,-472,2/6,-269,424,-0.0574
H1,10,1.2,5.0,conservative,all,1153,1404,1.19,34.1,-0.0099,-534,2/6,-262,1666,-0.0528
H1,10,1.2,5.0,conservative,asia,173,260,1.19,29.5,-0.0137,-170,3/6,-4,264,-0.0655
H1,10,1.2,5.0,conservative,ny,379,210,1.09,37.7,-0.0097,-330,2/6,-115,324,-0.0397
H1,10,1.8,-,direct,all,1629,1069,1.07,34.9,-0.0057,-793,3/6,-223,1292,-0.0203
H1,10,1.8,-,direct,asia,214,347,1.13,38.3,0.0604,-714,5/6,-49,396,-0.0028
H1,10,1.8,-,direct,ny,532,276,1.07,36.1,0.0014,-777,4/6,77,199,0.0127
H1,10,1.8,2.5,moderate,all,1336,832,1.07,35.8,-0.0075,-1024,4/6,-320,1152,-0.0424
H1,10,1.8,2.5,moderate,ny,488,402,1.1,37.7,0.0137,-487,3/6,7,395,-0.0049
H1,10,1.8,2.5,conservative,all,645,804,1.14,35.7,-0.0331,-624,4/6,-299,1103,-0.0893
H1,10,1.8,2.5,conservative,ny,284,-22,0.99,36.3,-0.0361,-651,3/6,-171,149,-0.0592
H1,10,1.8,-,buy_only,all,814,1496,1.21,38.3,0.0562,-724,4/6,-123,1619,-0.0005
H1,10,1.8,-,buy_only,ny,248,71,1.03,40.3,0.0373,-517,3/6,145,-74,0.0938
H1,10,1.8,-,sell_only,all,815,-427,0.94,31.4,-0.0676,-1615,2/6,-101,-327,-0.0401
H1,10,1.8,-,sell_only,ny,284,205,1.1,32.4,-0.03,-440,3/6,-68,273,-0.056
