masuk,keluar,arah,px_in,px_out,risk,sebab,pnl,R,equity,dd%
2026-02-20 07:00:00+00:00,2026-02-23 15:00:00+00:00,1,5020.365,5201.5650000000005,45.30000000000018,TP,180.70000000000073,3.988962472406181,2011.496,-0.8814008986967377
2026-02-25 21:00:00+00:00,2026-02-27 13:00:00+00:00,-1,5151.905,5217.385,65.48000000000047,SL,-65.98000000000047,-1.0076359193646915,1945.5159999999996,-4.132635387208788
2026-02-27 14:00:00+00:00,2026-03-02 15:00:00+00:00,1,5222.575,5331.248,56.039999999999964,flip,108.17299999999977,1.9302819414703754,2053.6889999999994,0.0
2026-03-03 07:00:00+00:00,2026-03-03 14:00:00+00:00,-1,5309.998,5030.9699999999975,69.75700000000052,TP,278.52800000000207,3.992832260561664,2332.2170000000015,0.0
2026-03-05 14:00:00+00:00,2026-03-06 02:00:00+00:00,-1,5117.805,5134.315,76.80999999999949,flip,-17.00999999999931,-0.22145553964326808,2315.207000000002,-0.7293489413720635
2026-03-06 12:00:00+00:00,2026-03-06 15:00:00+00:00,-1,5076.705,5143.665,66.96000000000004,SL,-67.46000000000004,-1.0074671445639187,2247.747000000002,-3.621875665943576
2026-03-09 00:00:00+00:00,2026-03-09 06:00:00+00:00,-1,5075.295,5123.995,121.40300000000025,flip,-49.19999999999982,-0.40526181395846655,2198.5470000000023,-5.731456378201474
2026-03-12 15:00:00+00:00,2026-03-13 02:00:00+00:00,-1,5142.565,5124.155,48.82300000000032,flip,17.909999999999854,0.366835303033401,2216.457000000002,-4.963517545751499
2026-03-13 15:00:00+00:00,2026-03-16 14:00:00+00:00,-1,5041.335,5029.575,86.89000000000033,flip,11.260000000000218,0.12958913568880395,2227.7170000000024,-4.480715130710351
2026-03-18 03:00:00+00:00,2026-03-18 20:00:00+00:00,-1,4991.565,4832.964999999997,39.650000000000546,TP,158.10000000000218,3.987389659520807,2385.8170000000046,0.0
2026-03-20 11:00:00+00:00,2026-03-23 06:00:00+00:00,-1,4645.155,4282.434999999999,90.68000000000029,TP,362.22000000000116,3.9944861049845612,2748.0370000000057,0.0
2026-03-24 22:00:00+00:00,2026-03-26 00:00:00+00:00,1,4471.098,4497.845,120.26000000000022,flip,26.2470000000003,0.21825212040578953,2774.284000000006,0.0
2026-03-30 06:00:00+00:00,2026-03-30 19:00:00+00:00,1,4522.375,4498.865,104.71000000000004,flip,-24.01000000000022,-0.22929997134944333,2750.274000000006,-0.8654485265387454
2026-03-31 02:00:00+00:00,2026-04-02 02:00:00+00:00,1,4604.825,4696.108,122.71000000000004,flip,90.78300000000036,0.7398174557900768,2841.057000000006,0.0
2026-04-07 02:00:00+00:00,2026-04-07 09:00:00+00:00,-1,4626.725,4682.525,70.84999999999945,flip,-56.29999999999927,-0.7946365561044418,2784.757000000007,-1.981656827018928
2026-04-09 14:00:00+00:00,2026-04-10 07:00:00+00:00,1,4764.048,4745.725,65.96299999999974,flip,-18.82299999999941,-0.28535694252837934,2765.9340000000075,-2.644191932791159
2026-04-16 00:00:00+00:00,2026-04-16 13:00:00+00:00,1,4822.995,4785.885,37.10999999999967,SL,-37.60999999999967,-1.0134734572891406,2728.324000000008,-3.967995010307717
2026-04-17 13:00:00+00:00,2026-04-19 22:00:00+00:00,1,4846.215,4768.0,78.21500000000015,SL,-78.71500000000015,-1.0063926356836923,2649.6090000000077,-6.738618760552783
2026-04-21 05:00:00+00:00,2026-04-22 00:00:00+00:00,-1,4789.055,4737.765,43.789999999999964,flip,50.78999999999997,1.159853847910482,2700.3990000000076,-4.950903836142613
2026-04-22 16:00:00+00:00,2026-04-23 13:00:00+00:00,-1,4727.395,4740.005,44.76999999999953,flip,-13.10999999999967,-0.2928300201027431,2687.289000000008,-5.412351811315221
2026-04-23 20:00:00+00:00,2026-04-24 12:00:00+00:00,-1,4695.945,4706.705,47.039999999999964,flip,-11.260000000000218,-0.23937074829932456,2676.0290000000077,-5.808683176719019
2026-04-26 23:00:00+00:00,2026-04-27 03:00:00+00:00,-1,4684.078,4717.925,55.91699999999946,flip,-34.34699999999975,-0.6142496915070565,2641.682000000008,-7.017634633870343
2026-04-27 15:00:00+00:00,2026-04-30 01:00:00+00:00,-1,4678.045,4569.555,51.82999999999993,flip,107.98999999999978,2.0835423499903514,2749.6720000000078,-3.216584531742876
2026-05-08 14:00:00+00:00,2026-05-10 22:00:00+00:00,1,4747.635,4693.835,53.80000000000018,SL,-54.30000000000018,-1.0092936802973977,2695.3720000000076,-5.127845023876616
2026-05-13 13:00:00+00:00,2026-05-18 00:00:00+00:00,-1,4683.385,4510.4529999999995,43.233000000000175,TP,172.4320000000007,3.9884347604838895,2867.8040000000083,0.0
2026-05-19 05:00:00+00:00,2026-05-20 15:00:00+00:00,-1,4542.275,4531.145,47.02000000000044,flip,10.6299999999992,0.22607401105910466,2878.4340000000075,0.0
2026-05-21 18:00:00+00:00,2026-05-22 15:00:00+00:00,1,4551.365,4500.445,63.029999999999745,flip,-51.42000000000007,-0.8158019990480768,2827.0140000000074,-1.7863880151499023
2026-05-24 23:00:00+00:00,2026-05-26 01:00:00+00:00,1,4564.948,4549.395,73.34300000000076,flip,-16.052999999999884,-0.21887569365855936,2810.9610000000075,-2.3440870973591816
2026-06-05 12:00:00+00:00,2026-06-05 13:00:00+00:00,1,4470.035,4428.335,41.69999999999982,SL,-42.19999999999982,-1.011990407673861,2768.7610000000077,-3.810162053394293
2026-06-05 13:00:00+00:00,2026-06-08 12:00:00+00:00,-1,4406.355,4330.948,69.29000000000087,flip,74.90699999999924,1.0810650887573718,2843.668000000007,-1.2078095242065805
2026-06-09 15:00:00+00:00,2026-06-10 22:00:00+00:00,-1,4300.285,4048.6049999999996,62.92000000000007,TP,251.1800000000003,3.99205340114431,3094.8480000000072,0.0
2026-06-16 09:00:00+00:00,2026-06-17 18:00:00+00:00,1,4346.965,4305.755,41.210000000000036,SL,-41.710000000000036,-1.012132977432662,3053.138000000007,-1.3477237008085676
2026-06-17 19:00:00+00:00,2026-06-18 01:00:00+00:00,-1,4285.505,4308.098,96.61999999999989,flip,-23.092999999999847,-0.23900848685572215,3030.0450000000073,-2.0938992803523706
2026-06-18 09:00:00+00:00,2026-06-19 09:00:00+00:00,-1,4266.635,4168.795,112.9399999999996,flip,97.34000000000015,0.8618735611829333,3127.3850000000075,0.0
2026-06-23 02:00:00+00:00,2026-06-23 16:00:00+00:00,-1,4161.035,4138.515,53.970000000000255,flip,22.019999999999527,0.4080044469149421,3149.405000000007,0.0
2026-06-24 00:00:00+00:00,2026-06-25 16:00:00+00:00,-1,4098.955,4041.045,45.840000000000146,flip,57.40999999999985,1.2523996509598532,3206.815000000007,0.0
2026-06-26 03:00:00+00:00,2026-06-26 09:00:00+00:00,-1,3990.425,4043.918,53.49299999999994,SL,-53.99299999999994,-1.0093470173667582,3152.822000000007,-1.6836955047297653
2026-07-01 12:00:00+00:00,2026-07-01 20:00:00+00:00,1,4030.165,4038.365,70.25999999999976,flip,7.699999999999818,0.10959294050668722,3160.5220000000068,-1.4435818717325453
2026-07-02 07:00:00+00:00,2026-07-06 05:00:00+00:00,1,4073.025,4159.485,44.82999999999993,flip,85.95999999999958,1.9174659826009306,3246.4820000000063,0.0
2026-07-07 16:00:00+00:00,2026-07-08 19:00:00+00:00,-1,4138.725,4084.075,41.5,flip,54.150000000000546,1.3048192771084468,3300.632000000007,0.0
2026-07-12 22:00:00+00:00,2026-07-12 23:00:00+00:00,1,4094.225,4072.585,21.639999999999873,SL,-22.139999999999873,-1.023105360443623,3278.492000000007,-0.6707806262558148
2026-07-15 13:00:00+00:00,2026-07-15 17:00:00+00:00,1,4068.105,4033.515,50.94999999999982,flip,-35.090000000000146,-0.688714425907758,3243.402000000007,-1.7339103541382348
2026-07-20 23:00:00+00:00,2026-07-21 02:00:00+00:00,-1,3999.945,4040.435,40.48999999999978,SL,-40.98999999999978,-1.0123487280810077,3202.412000000007,-2.9757937267771624
2026-07-29 14:00:00+00:00,2026-07-29 17:00:00+00:00,-1,4007.055,4047.635,40.58000000000038,SL,-41.08000000000038,-1.012321340561853,3161.3320000000067,-4.220403849929344
2026-07-30 11:00:00+00:00,2026-07-31 08:00:00+00:00,1,4077.715,4067.885,49.559999999999945,flip,-10.329999999999927,-0.20843422114608431,3151.002000000007,-4.5333742143928735
2026-08-03 14:00:00+00:00,2026-08-04 05:00:00+00:00,-1,4029.915,4063.835,49.24000000000024,flip,-34.42000000000007,-0.6990251827782272,3116.5820000000067,-5.5762047995656525
2026-08-07 06:00:00+00:00,2026-08-07 11:00:00+00:00,1,4278.555,4321.915,55.32999999999993,OPEN,42.85999999999967,0.7746249774082727,3159.4420000000064,-4.277665610707289
